compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites,year_clean
Lotiglipron,GLP-1 agonist,Glucagon-like peptide-1 (GLP-1) receptor,Obesity/T2D,Phase 1/2,,2023,Liver transaminase elevations,clinical_failure,Metabolic,tox_safety,hepatotoxicity,Discontinued for safety/tox,,C[C@@]1(OC2=CC=CC(=C2O1)C3CCN(CC3)CC4=NC5=C(N4C[C@@H]6CCO6)C=C(C=C5)C(=O)O)C7=NC=C(C=C7)Cl,CC1(OC2=CC=CC(=C2O1)C3CCN(CC3)CC4=NC5=C(N4CCH6CCO6)C=C(C=C5)C(=O)O)C7=NC=C(C=C7)Cl,SVPYZAJTWFQTSM-UGDMGKLASA-N,146609022,OK,36,"High-fidelity design utilizing complex 3D architecture (spiro-isobenzofuran) to escape the 'Flatland' penalty. The use of the oxetane and chloropyridine optimizes the polarity profile. Although the MW approaches 'Brick' status, the spiro-cycle improves solubility and reduces crystal packing energy, aiding bioavailability. The complexity suggests a difficult synthesis but a high-quality final NCE. Tox Summary: Clean.",Medium,None identified (Complexity/MW are main risks).,0.8,"Generally safe motifs, though high complexity increases unknown off-target risks slightly.",0.5,Oral bioavailability will be the binary pass/fail metric here.,0.25,Good candidate for chronic use if PK is stable.,0.1,,2023.0
Azelaprag,APJ agonist,Apelin receptor (APJ),Heart Failure (HFrEF),Phase 2,,2023,Lack efficacy,clinical_failure,Cardiovascular,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,CC1=CC(=CN=C1)C2=NN=C(N2C3=C(C=CC=C3OC)OC)NS(=O)(=O)[C@@H](C)[C@H](C)C4=NC=C(C=N4)C,CC1=CC(=CN=C1)C2=NN=C(N2C3=C(C=CC=C3OC)OC)NS(=O)(=O)CH(C)CH(C)C4=NC=C(C=N4)C,DOMQFIFVDIAOOT-ROUUACIJSA-N,122702529,OK,58,"A competent molecule penalized by atropisomerism risk. The 2,6-dimethoxyphenyl group attached to the triazolone core creates a rotational axis that may result in separable rotamers or a broad smear, complicating development (CMC nightmare). The sulfonyl-linker and heterocycles provide a reasonable LogP, but the molecule lacks the 'sparkle' of high LipE design. Tox Summary: Clean (chemically), but Developmentally Risky.",Medium,"2,6-dimethoxyphenyl (Atropisomer risk), Sulfonamide (Solubility limit)",0.7,"Safety likely fine, but PK variability due to rotamers could be an issue.",0.3,Target (APJ) is historically difficult; efficacy is the main attrition driver.,0.15,CMC issues with atropisomers could kill the program late.,0.03,,2023.0
Beloranib,MetAP2 inhibitor,Methionine aminopeptidase 2 (MetAP2),Obesity/PWS,Phase 3,,2016,Thrombotic events (Pulmonary embolism/deaths),clinical_failure,Metabolic,tox_safety,cardiovascular_risk,Discontinued for safety/tox,,CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)OC(=O)/C=C/C4=CC=C(C=C4)OCCN(C)C)OC)C,CC(=CCCH1C(O1)(C)CH2CH(CH(CCC23CO3)OC(=O)C=CC4=CC=C(C=C4)OCCN(C)C)OC)C,ZEZFKUBILQRZCK-MJSCXXSSSA-N,6918502,OK,95,"This structure is a medicinal chemistry nightmare. It contains a bis-epoxide spiro-core which is a glaring structural alert for alkylation and genotoxicity. While natural products (like fumagillin) use this, in a synthetic drug context, it is a 'Hard Kill' liability. Furthermore, the side chain features a cinnamoyl ester (Michael acceptor precursor + hydrolytic instability) linked to a basic dimethylamine via an ethyl-phenyl ether. This tail is a textbook hERG pharmacophore (Basic N - Linker - Aromatic). You have combined a suicide warhead with a cardiac liability. Tox Summary: Not Clean (Genotox + hERG).",Low,"Bis-epoxides (alkylation), Cinnamoyl ester (Michael acceptor), Basic phenoxy-ethyl amine (hERG)",0.1,High risk of acute toxicity or genotoxicity flagging in preclinical safety.,0.1,Efficacy cannot outweigh the safety baggage of a bis-epoxide.,0.05,Chronic dosing of an alkylating agent for metabolic indications is unviable.,0.0005,,2016.0
ZGN-1061,MetAP2 inhibitor,Methionine aminopeptidase 2 (MetAP2),Obesity/Diabetes,Phase 2,,2026,Strategic exit due to class-wide safety concerns,clinical_failure,Metabolic,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)OC(=O)N4CC(C4)CCN5CCOCC5)OC)C,CC(=CCCH1C(O1)(C)CH2CH(CH(CCC23CO3)OC(=O)N4CC(C4)CCN5CCOCC5)OC)C,QJWJPMLDQYEPPW-AUKZVGPFSA-N,126573394,OK,88,"This molecule retains the fatal flaw of the previous entry: the bis-epoxide core. While the replacement of the labile cinnamoyl ester with a carbamate/urea-linked azetidine-morpholine tail improves metabolic stability and removes the Michael acceptor risk, the fundamental liability remains. The core is an alkylating bomb. The side chain is complex and adds significant molecular weight without resolving the primary safety concern. It is 'Lipstick on a pig'. Tox Summary: Not Clean (Genotox).",Medium,"Bis-epoxides (alkylation), Complex basic side chain",0.15,"Slightly better stability than the ester analog, but genotox risk remains dominant.",0.15,"Target engagement likely high, but safety margin will be nonexistent.",0.05,Regulatory hurdles for chronic use of this scaffold are insurmountable.,0.0011,,2026.0
Balicatib,Cathepsin-K inhibitor,Cathepsin K enzyme,Osteoporosis,Phase 2,,2006,Dermatologic toxicity,clinical_failure,Metabolic,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,CCCN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3(CCCCC3)C(=O)NCC#N,CCCN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3(CCCCC3)C(=O)NCC#N,LLCRBOWRJOUJAE-UHFFFAOYSA-N,10201696,OK,68,"This is a cysteine protease inhibitor design featuring a reactive nitrile warhead (amino-acetonitrile motif). While nitriles can be reversible covalent traps, they often bring idiosyncratic toxicity and off-target reactivity. The molecule has a basic piperazine tail linked to a lipophilic core, creating a risk for hERG inhibition and lysosomal trapping (phospholipidosis). The spiro-cyclohexyl linker adds bulk (grease) without specific interactions. The primary risk is the warhead's selectivity and the potential for cyanide release or immunotoxicity. Tox Summary: Risky (Reactive Warhead).",Medium,"Amino-acetonitrile (electrophile), Basic piperazine (hERG/Phospholipidosis)",0.6,"Manageable acute safety, but warhead reactivity needs careful monitoring.",0.3,Off-target cathepsin inhibition or idiosyncratic tox often kills this class here.,0.1,Chronic safety (stroke/skin issues) is the historical graveyard for this mechanism.,0.018,,2006.0
Viquidacin,Topoisomerase inh.,Bacterial Type II Topoisomerases,Antibiotic,Phase 1,,2010,QT prolongation,clinical_failure,Infectious,tox_safety,qt_liability,Discontinued for safety/tox,,COC1=CC2=C(C(=CN=C2C=C1)F)[C@H](CC[C@@H]3CCN(C[C@@H]3C(=O)O)CCSC4=CC=CS4)O,COC1=CC2=C(C(=CN=C2C=C1)F)CH(CCCH3CCN(CCH3C(=O)O)CCSC4=CC=CS4)O,USGHRRVFKSLEJT-WVBUVRCRSA-N,11591505,OK,55,"A fluoroquinolone-like scaffold targeting topoisomerase. The zwitterionic character (carboxylic acid + amine) is good for solubility but challenges permeability. The major structural alert is the thiophene ring in the side chain. Thiophenes are notorious for metabolic activation (S-oxidation) leading to reactive metabolites and DILI. Combined with the known class liabilities of fluoroquinolones (QT prolongation, tendon rupture), the addition of a metabolic alert like thiophene makes this a sub-optimal candidate despite likely high potency. Tox Summary: Not Clean (Bioactivation Risk).",Medium,"Thiophene (S-oxidation/Bioactivation), Fluoroquinolone core (QT/Tendon)",0.7,"Standard class risks, but thiophene might pass short-term tox.",0.4,Efficacy likely good; attrition driven by safety signals.,0.15,Competitive landscape requires pristine safety; thiophene is a liability.,0.042,,2010.0
Tozadenant,A2A antagonist,Adenosine A2A receptor,Parkinson,Phase 3,,2017,Agranulocytosis,clinical_failure,CNS,tox_safety,hematologic_toxicity,Discontinued for safety/tox,,CC1(CCN(CC1)C(=O)NC2=NC3=C(C=CC(=C3S2)N4CCOCC4)OC)O,CC1(CCN(CC1)C(=O)NC2=NC3=C(C=CC(=C3S2)N4CCOCC4)OC)O,XNBRWUQWSKXMPW-UHFFFAOYSA-N,11618368,OK,42,"This molecule displays the most disciplined physicochemical profile of the batch. Designed for CNS, it lacks a strong basic center (amide-linked piperidine), reducing hERG risk. The HBD count is controlled (hydroxyl + amide), and TPSA appears compatible with BBB penetration. However, the electron-rich amino-aromatic system (morpholine attached to the benzothiazole-like core) mimics an aniline substructure. This raises a flag for bioactivation (reactive quinone-imines) which could lead to agranulocytosis or DILI. Despite this 'hidden' metabolic risk, the structural properties are superior to the others. Tox Summary: Clean-ish (Watch for Idiosyncratic Tox).",High,"Aniline-like substructure (Bioactivation risk), Fused thiazole",0.85,Clean physicochemical profile suggests good Phase 1 survival.,0.5,CNS efficacy depends on receptor occupancy vs side effects.,0.25,Idiosyncratic toxicity (blood dyscrasias) is the main threat to approval.,0.106,,2017.0
Semagacestat,_-Secretase inhibitor,_-secretase complex,Alzheimer,Phase 3,,2010,Cognitive worsening/systemic toxicity,clinical_failure,CNS,tox_safety,cardiovascular_risk,Discontinued for safety/tox,,C[C@@H](C(=O)N[C@H]1C2=CC=CC=C2CCN(C1=O)C)NC(=O)[C@H](C(C)C)O,CCH(C(=O)NCH1C2=CC=CC=C2CCN(C1=O)C)NC(=O)CH(C(C)C)O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,9843750,OK,68,"This structure screams 'Peptidomimetic Transition State Analog'. While the MW is reasonable (~370), the presence of three amide bonds creates a high TPSA/MW ratio, which is suboptimal for CNS penetration without active transport. The flexible alanine-like linker and hydroxy-isovaleric cap introduce significant rotatable bond penalties (entropic cost). Chemically, this looks like a substrate mimic, which often correlates with poor metabolic stability (proteases/peptidases) and low residence time. The benzolactam core attempts to rigidify, but it's not enough to offset the peptide character. Furthermore, Gamma-Secretase inhibitors are notorious for 'Notch Toxicity' (GI/Skin), and substrate mimics rarely achieve the selectivity required to avoid this. Tox Summary: Not Clean (Mechanism-based toxicity risk + Peptidic instability).",Low,"Peptidic backbone (Proteolysis), Benzolactam (potential ring opening)",0.6,"Likely safe enough for single dose, but PK variability due to peptidic nature will be high.",0.25,Poor CNS exposure and short half-life likely. Notch-related side effects will limit dosing.,0.1,Class-wide toxicity (Notch) usually kills these in late stage.,0.15,,2010.0
Avagacestat,_-Secretase inhibitor,_-secretase complex,Alzheimer,Phase 2,,2012,Tolerability liabilities,clinical_failure,CNS,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)[C@H](CCC(F)(F)F)C(=O)N)Cl,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)CH(CCC(F)(F)F)C(=O)N)Cl,XEAOPVUAMONVLA-QGZVFWFLSA-N,46883536,OK,85,"This molecule is a 'Brick'. The Molecular Weight is pushing 570+, and the structure is laden with polarity (Sulfonamide, Primary Amide, Oxadiazole) fighting against a heavy lipophilic burden (Chlorobenzene, Trifluoropropyl, Fluorobenzene). The TPSA is likely >110 Å², which is a hard stop for passive CNS diffusion. The sulfonamide moiety is a structural alert for idiosyncratic toxicity (SJS/TEN). The primary amide is a metabolic soft spot. This looks like a potency-driven optimization that completely ignored CNS MPO rules. It carries a massive 'Grease Tax' and 'Complexity Tax'. Tox Summary: Not Clean (Sulfonamide alert + High MW/LogP DILI risk).",Medium,"Sulfonamide (Idiosyncratic tox), Primary Amide (Hydrolysis), Oxadiazole (Ring opening)",0.4,High risk of poor oral bioavailability and non-linear PK due to solubility limits.,0.15,Unlikely to achieve sufficient free brain concentration for efficacy without peripheral tox.,0.05,Safety/Efficacy window will be non-existent.,0.05,,2012.0
LY2811376,BACE1 inhibitor,_-site Amyloid Precursor Protein Cleaving Enzyme 1 (BACE1),Alzheimer,Phase 1,,2011,Retinal toxicity,clinical_failure,CNS,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,C[C@]1(CCSC(=N1)N)C2=C(C=C(C(=C2)C3=CN=CN=C3)F)F,CC1(CCSC(=N1)N)C2=C(C=C(C(=C2)C3=CN=CN=C3)F)F,MJQMRGWYPNIERM-HNNXBMFYSA-N,44251605,OK,35,"From a pure medicinal chemistry perspective, this is an elite fragment-based design. The MW is low (<350), and the use of a cyclic amidine/thiazine core to engage the aspartyl protease is elegant, keeping TPSA and HBD in the Goldilocks zone for CNS. The difluorophenyl-pyrimidine tail provides lipophilicity without 'grease'. However, the 'Clinical Tax' here is massive. BACE1 inhibitors have a 100% failure rate in late-stage trials due to cognitive worsening and liver toxicity. While the chemistry is beautiful (High LipE), the biology is a minefield. The amino-thiazine core can also be prone to S-oxidation or reactive metabolite formation. Tox Summary: Clean structure, Dirty Target.",High,"Amino-thiazine (S-oxidation, potential bioactivation)",0.85,Clean physicochemical profile suggests good PK and safety in healthy volunteers.,0.4,"Target engagement will be good, but early signs of cognitive issues may appear.",0.1,Historical attrition of BACE inhibitors is brutal. Cognitive worsening is a class effect.,0.2,,2011.0
Almorexant,Dual orexin antagonist,Orexin-1 and Orexin-2 (OX1/OX2) receptors,Insomnia,Phase 3,,2011,Transient liver enzyme elevations / hepatic safety concerns,clinical_failure,CNS,tox_safety,hepatotoxicity,Discontinued for safety/tox,,CNC(=O)[C@@H](C1=CC=CC=C1)N2CCC3=CC(=C(C=C3[C@@H]2CCC4=CC=C(C=C4)C(F)(F)F)OC)OC,CNC(=O)CH(C1=CC=CC=C1)N2CCC3=CC(=C(C=C3CH2CCC4=CC=C(C=C4)C(F)(F)F)OC)OC,DKMACHNQISHMDN-RPLLCQBOSA-N,23727689,OK,65,"This is a classic 'Grease Ball' typical of GPCR antagonists, specifically Orexin. The MW is high (>530) and the cLogP is likely >5.0 given the CF3, multiple aromatics, and dimethoxy groups. While it likely binds with high affinity, the LipE is poor. The structure triggers the 'Rule of Two' (High LogP + High MW), flagging it for DILI risk. The dimethoxy-tetrahydroisoquinoline core is metabolically vulnerable to demethylation, leading to catechols which can cycle to quinones (reactive metabolites). It relies heavily on hydrophobic collapse for binding. Tox Summary: Not Clean (DILI risk + Reactive Metabolite potential).",Low,"Catechol precursor (Dimethoxy benzene), High Lipophilicity (Phospholipidosis/DILI)",0.7,"Likely manageable in short term, but PK will show high variability.",0.35,"Efficacy likely, but 'morning grogginess' (half-life issues) and liver enzyme elevations are risks.",0.2,Safety signals (liver) often catch up with these greasy molecules in large populations.,0.25,,2011.0
Encenicline,nAChR partial agonist,_7_ nicotinic acetylcholine receptor,Cognitive impairment in schizophrenia,Phase 3,,2015,Rare serious GI adverse events prompted suspension in AD program; schizophrenia Phase 3 failed endpoints,clinical_failure,CNS,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,C1CN2CCC1[C@H](C2)NC(=O)C3=CC4=C(S3)C(=CC=C4)Cl,C1CN2CCC1CH(C2)NC(=O)C3=CC4=C(S3)C(=CC=C4)Cl,SSRDSYXGYPJKRR-ZDUSSCGKSA-N,46196517,OK,22,"This is a high-fidelity CNS lead. The quinuclidine scaffold is a privileged motif for nAChR, offering high basicity for binding but compact size for permeability. MW (~350) and TPSA are ideal. The benzothiophene tail adds necessary lipophilicity for the receptor pocket. The primary risk here is the 'hERG Pharmacophore': a basic center (quinuclidine) linked to a lipophilic aromatic moiety. If hERG is clean, this is a superior molecule. Metabolic stability should be decent, though the sulfur is an oxidation liability. Tox Summary: Clean (Watch hERG).",High,"Benzothiophene (S-oxidation), Basic Quinuclidine (hERG risk)",0.8,Excellent PK predicted. hERG is the main safety gate.,0.5,Strong target engagement expected. GI side effects (nAChR peripheral) are the main efficacy limiter.,0.3,"If it passes hERG and GI tolerability, it has a strong path. Agonist desensitization is a biological risk.",0.45,,2015.0
TPI-287,Microtubule stabilizer,Microtubules (taxane derivative),Alzheimer,Phase 1,,2013,Neurotoxicity,clinical_failure,CNS,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,CC1=C2[C@@H]([C@H]3[C@@]4([C@H](C[C@@H]5[C@]([C@H]4[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](CC(C)C)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO5)OC(=O)C)OC(O3)C=C)C)OC(=O)C,CC1=C2CH(CH3C4(CH(CCH5C(CH4CH(C(C2(C)C)(CCH1OC(=O)CH(CH(CC(C)C)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO5)OC(=O)C)OC(O3)C=C)C)OC(=O)C,FDTAUJJRHBRHIJ-FDJAAIFISA-N,11564168,OK,92,"This molecule is a violation of CNS physics. With a MW > 800 and TPSA > 160, it is a 'Brick' that will not passively cross the Blood-Brain Barrier. The complex macrocyclic taxane core is a known P-gp substrate, guaranteeing efflux even if permeation occurred. The presence of multiple esters suggests high plasma clearance and hydrolytic instability. While likely potent against microtubules, it is undeliverable to the CNS without invasive formulation. Tox Summary: Not Clean (Cytotoxic/Bone Marrow).",Low,"Taxane core (Cytotoxicity), Multiple Esters (Hydrolysis), Boc-amine (Acid instability)",0.2,High risk of dose-limiting toxicity (neutropenia) common to this class.,0.05,Zero probability of achieving CNS exposure thresholds.,0.01,Clinical failure guaranteed due to lack of target engagement in brain.,0.0001,,2013.0
Rolofylline,A1 antagonist,Adenosine A1 receptor,Heart failure,Phase 3,,2009,Seizures,clinical_failure,Cardiovascular,efficacy,efficacy_failure,Discontinued for efficacy,,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C34C[C@@H]5C[C@H](C3)CC4C5,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C34CCH5CCH(C3)CC4C5,PJBFVWGQFLYWCB-QUYAXPHCSA-N,11948288,OK,48,"A Xanthine core decorated with a highly lipophilic adamantyl-like cage. While the scaffold is validated for adenosine targets, the lipophilicity (cLogP > 4.5) combined with a flat aromatic core creates a significant 'Brick Dust' solubility risk. The 'Grease Tax' applies here: potency is likely driven by non-specific hydrophobic interactions of the cage. Renal clearance targets require better solubility to avoid crystalluria. Tox Summary: Clean.",Medium,"None specific, but high lipophilicity increases off-target risk.",0.7,"Generally safe scaffold, likely to pass safety.",0.3,Efficacy risk due to poor solubility/bioavailability or renal side effects.,0.15,Commercial viability limited by dosing regimen or diuretic side effects.,0.0315,,2009.0
CX717,Ampakine,AMPA-type glutamate receptors (Positive Allosteric Modulator),CNS disorders,Phase 2,,2006,Toxicology signal,clinical_failure,CNS,tox_safety,other_safety_or_unknown,Discontinued for safety/tox,,C1COCCN1C(=O)C2=CC3=NON=C3C=C2,C1COCCN1C(=O)C2=CC3=NON=C3C=C2,KFRQROSRKSVROW-UHFFFAOYSA-N,3323368,OK,65,"While the physicochemical properties (MW < 250, low LogP) are attractive for CNS penetration, the Benzofurazan core is a major structural alert. This moiety is electronically exotic, posing risks for reductive metabolism, ring-opening, and potential mutagenicity. Furthermore, such low MW often implies low potency (uM range), necessitating high gram-level dosing, which exacerbates the toxicity risk of the reactive core. Tox Summary: Not Clean (Reactive Core).",Low,Benzofurazan (Reductive instability/Mutagenicity risk),0.5,Safety concerns regarding the benzofurazan moiety.,0.2,Short half-life and low potency likely lead to lack of sustained efficacy.,0.05,High attrition risk due to chronic safety signals.,0.005,,2006.0
