compound,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,approval_year,isomeric,canonical,inchikey,cid,status,Edward Score V20,Rationale V20,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob,P1 Rationale,P2 Prob,P2 Rationale,P3 Prob,P3 Rationale,TCSP V20,metabolic_sites
Terfenadine,H1 Antihistamine,Histamine H1 receptor,Allergy,Approved,1985,1998,QT prolongation/torsades,market_withdrawal,Allergy,tox_safety,qt_liability,Withdrawn / restricted for safety,,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,GUGOEEXESWIERI-UHFFFAOYSA-N,5405,OK,92,"HARD KILL. This structure is a textbook hERG pharmacophore: a basic center (piperidine) linked to a large hydrophobic cluster (diphenyl + t-butyl phenyl) via a flexible spacer. The cLogP is excessive (>4.5), and the t-butyl group serves as a metabolic soft spot; if metabolism is inhibited (DDI), the parent compound will accumulate and likely trigger Torsades de Pointes. While it may be potent, the cardiac safety margin is non-existent by modern standards. This is a 'Zombie' molecule—looks like a drug, acts like a toxin. Tox Summary: hERG Liability (Fatal Arrhythmia Risk).",Low,hERG Pharmacophore (Basic amine + Lipophilic tails),0.1,High probability of QT prolongation in SAD/MAD studies.,0.05,Cannot proceed with QT liability.,0.01,Unapprovable.,5e-05,
Astemizole,H1 Antihistamine,Histamine H1 receptor,Allergy,Approved,1988,1999,QT prolongation/torsades,market_withdrawal,Allergy,tox_safety,qt_liability,Withdrawn / restricted for safety,,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,GXDALQBWZGODGZ-UHFFFAOYSA-N,2247,OK,88,"Another hERG trap. The molecule combines high MW (>450), high lipophilicity, and a basic piperidine nitrogen flanked by two aromatic systems (benzimidazole and phenethyl). This specific topology (N-substituted benzimidazole linked to basic amine) is historically associated with severe QT prolongation. The molecule is too 'heavy' and lipophilic for a clean oral drug, likely suffering from high clearance and variable bioavailability. It violates the 'Grease Tax' and safety design principles. Tox Summary: hERG Liability.",Medium,"hERG Pharmacophore, Fluorobenzyl/Phenethyl tails",0.15,QT prolongation risk is the primary gatekeeper here.,0.1,"Even if safe in P1, accumulation in tissues due to lipophilicity poses chronic risks.",0.05,"Better, safer antihistamines exist; no commercial rationale for a dirty drug.",0.00075,
Cisapride,Prokinetic,5-HT4 receptor agonist,GI motility,Approved,1993,2000,QT prolongation/torsades,market_withdrawal,GI,tox_safety,qt_liability,Withdrawn / restricted for safety,,CO[C@H]1CN(CC[C@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,COCH1CN(CCCH1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,DCSUBABJRXZOMT-IRLDBZIGSA-N,6917698,OK,88,"This molecule is a walking hERG liability. The structure features a classic 'hERG Pharmacophore': a basic nitrogen (piperidine) separated by a flexible propylene linker from a lipophilic, electron-rich fluorophenyl tail. While the benzamide core is a privileged scaffold for 5-HT4, the specific geometry of the tail suggests massive QT prolongation risk. Furthermore, the molecule is relatively flexible (high rotatable bond count), imposing an entropic penalty on binding that is likely compensated by non-specific lipophilic interactions ('Grease'). Tox Summary: Not Clean (High hERG risk).",Medium,"Basic amine + 3-carbon linker + Lipophilic tail (hERG pharmacophore), Aniline (metabolic handle)",0.2,High probability of QT prolongation leading to early termination or dose-capping.,0.4,"If it survives safety, target engagement is likely, but safety margins will be razor thin.",0.05,Commercial viability is near zero due to cardiac monitoring requirements.,0.15,
Tegaserod,Prokinetic,5-HT4 receptor agonist,IBS-C,Approved,2002,2007,Cardiovascular ischemic events,market_withdrawal,GI,tox_safety,cardiovascular_risk,Withdrawn / restricted for safety,,CCCCCN=C(N)N/N=C/C1=CNC2=C1C=C(C=C2)OC,CCCCCN=C(N)NN=CC1=CNC2=C1C=C(C=C2)OC,IKBKZGMPCYNSLU-RGVLZGJSSA-N,135409453,OK,95,"Chemically offensive. This structure combines an aminoguanidine with an indole-aldehyde via a hydrazone linkage. This is a 'Dirty Drug' profile. 1) Hydrazones are structurally alert for hydrolysis and mutagenicity. 2) The aminoguanidine moiety is highly basic and polar, creating permeability issues, while the pentyl chain attempts to brute-force lipophilicity. 3) This motif screams 'promiscuous binder' and likely inhibits multiple off-targets. It resembles a tool compound rather than a clinical candidate. Tox Summary: Not Clean (Mutagenicity/Stability risks).",Low,"Hydrazone linkage (hydrolysis/mutagenicity), Aminoguanidine (promiscuity), Indole (oxidation prone)",0.1,High risk of genotoxicity or metabolic instability causing P1 failure.,0.1,Poor PK profile expected due to high basicity and lability.,0.01,Unlikely to ever reach this stage.,0.05,
Lumiracoxib,COX-2 inhibitor,Cyclooxygenase-2 (COX-2) enzyme,Pain/Arthritis,Approved,2005 (UK),2007,Severe hepatotoxicity,market_withdrawal,Pain,tox_safety,hepatotoxicity,Withdrawn / restricted for safety,,CC1=CC(=C(C=C1)NC2=C(C=CC=C2Cl)F)CC(=O)O,CC1=CC(=C(C=C1)NC2=C(C=CC=C2Cl)F)CC(=O)O,KHPKQFYUPIUARC-UHFFFAOYSA-N,151166,OK,68,"A classic NSAID-like scaffold with a hidden kill switch. The core is a diphenylamine derivative with an acetic acid tail. While the 2,6-disubstitution (Cl, F) forces a non-coplanar conformation beneficial for COX binding, the aniline nitrogen is a major liability. This motif is prone to bioactivation into reactive quinone-imines, a known driver of idiosyncratic Drug-Induced Liver Injury (DILI). The carboxylic acid also introduces the risk of reactive acyl glucuronides. It is a potent binder but carries a heavy 'Liver Tax'. Tox Summary: Not Clean (DILI Risk).",Medium,"Diphenylamine (Quinone-imine formation), Carboxylic acid (Acyl glucuronide formation), Chloro-Fluoro substitution (Lipophilicity)",0.7,"Likely to pass acute safety, as DILI is often idiosyncratic or cumulative.",0.5,Efficacy is highly probable given the scaffold pedigree.,0.1,High risk of post-marketing withdrawal or black box warnings due to hepatotoxicity.,0.45,
Rofecoxib,COX-2 inhibitor,Cyclooxygenase-2 (COX-2) enzyme,Pain/Arthritis,Approved,1999,2004,Thrombotic cardiovascular events,market_withdrawal,Pain,tox_safety,cardiovascular_risk,Withdrawn / restricted for safety,,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,RZJQGNCSTQAWON-UHFFFAOYSA-N,5090,OK,78,"A rigid, lipophilic 'brick'. The central furanone (lactone) ring is a structural weakness, susceptible to hydrolytic ring-opening or Michael addition if metabolically activated. The methylsulfone is a robust polar anchor, but the overall molecule lacks sp3 character (Flatland). The primary concern is the 'Mechanism Attrition' tax applied to this specific shape of COX-2 inhibitors, which are historically linked to severe thrombotic cardiovascular events. While chemically distinct from sulfonamides, the lactone moiety adds a unique reactive risk. Tox Summary: Not Clean (CV Risk + Lactone reactivity).",Medium,"Furanone lactone (Ring opening/Michael acceptor), Diaryl heterocycle (CV risk pharmacophore)",0.8,Acute safety likely acceptable; CV events require chronic exposure.,0.4,"Good efficacy, but PK might be limited by solubility (Brick-like nature).",0.05,Severe risk of CV toxicity derailment in large populations.,0.35,
Valdecoxib,COX-2 inhibitor,Cyclooxygenase-2 (COX-2) enzyme,Pain/Inflammation,Approved,2001,2005,Cardiovascular risk + SJS/TEN,market_withdrawal,Pain,tox_safety,idiosyncratic_immunotoxicity,Withdrawn / restricted for safety,,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,LNPDTQAFDNKSHK-UHFFFAOYSA-N,119607,OK,62,"A standard-issue MedChem design: Diaryl isoxazole with a sulfonamide handle. The isoxazole core is oxidatively stable compared to furanones. However, the primary sulfonamide triggers a 'Sulfa Allergy' alert (SJS/TEN risk). The molecule relies heavily on the methyl group for metabolic clearance (benzylic oxidation). While it avoids the reactive lactone of the previous entry, it still carries the class-wide CV liability associated with highly selective COX-2 inhibition. It is the most 'developable' of the set but boring and risky. Tox Summary: Clean-ish (Class CV risk + Sulfonamide allergy).",High,"Primary Sulfonamide (Hypersensitivity/SJS), Diaryl heterocycle (CV risk pharmacophore)",0.85,Generally well-tolerated in acute dosing.,0.5,Strong efficacy expected.,0.15,Skin toxicity and CV signals are the main threats to approval.,0.55,
Benfluorex,Metabolic agent,Indirect 5-HT2B receptor agonist (active metabolite),Metabolic syndrome,Approved,1976 (France),2009,Cardiac valvulopathy,market_withdrawal,Metabolic,tox_safety,cardiovascular_risk,Withdrawn / restricted for safety,,CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C2=CC=CC=C2,CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C2=CC=CC=C2,CJAVTWRYCDNHSM-UHFFFAOYSA-N,2318,OK,88,"This structure is a metabolic time bomb. It features a labile ester linkage which will rapidly hydrolyze in vivo to release benzoic acid and a secondary amine. The resulting amine metabolite contains a 3-trifluoromethylphenethylamine scaffold—a notorious pharmacophore associated with potent 5HT2B agonism and subsequent cardiac valvulopathy. The molecule relies on 'grease' (high lipophilicity) and a prodrug strategy to mask polarity, which is a lazy medicinal chemistry approach. The combination of an ester liability and a cardiotoxic scaffold makes this a non-starter.",Low,"Ester linkage (rapid hydrolysis), 3-CF3-phenethylamine (Valvulopathy risk)",0.4,Ester hydrolysis will lead to variable PK. Safety concerns regarding the amine metabolite's off-target profile.,0.2,"Efficacy might be present, but the therapeutic window against CV side effects will be non-existent.",0.05,High probability of failure due to cardiac safety signals (valvulopathy) in chronic dosing.,0.004,
Clobutinol,Antitussive,_ (Sigma) receptors and hERG (cause of withdrawal),Cough,Approved,1958 (Gerrmany),2007,QT prolongation/torsades,market_withdrawal,Respiratory,tox_safety,qt_liability,Withdrawn / restricted for safety,,CC(CN(C)C)C(C)(CC1=CC=C(C=C1)Cl)O,CC(CN(C)C)C(C)(CC1=CC=C(C=C1)Cl)O,KVHHQGIIZCJATJ-UHFFFAOYSA-N,26937,OK,78,"This molecule is a textbook hERG trap. It possesses a basic tertiary amine linked by a short alkyl chain to a lipophilic chlorophenyl moiety—the classic pharmacophore for blocking the potassium channel. While the tertiary alcohol adds some metabolic stability by blocking one site of oxidation, the N-demethylation pathway remains open. The primary concern is not metabolism, but the electrical stability of the heart. It is a 'dirty' CNS drug design that prioritizes brain penetration via lipophilicity at the expense of cardiac safety.",Medium,"Basic amine + Lipophilic tail (hERG pharmacophore), Chlorophenyl (Lipophilicity)",0.3,High risk of QT prolongation leading to early termination or dose-capping.,0.3,"If it survives P1, efficacy is likely, but safety margins will be razor-thin.",0.1,Regulatory agencies have zero tolerance for QT prolongation in non-life-threatening indications like cough.,0.009,
Nomifensine,NDRI,DAT and NET inhibition,Depression,Approved,1976 (Germany),1986,Hemolytic anemia,market_withdrawal,CNS,tox_safety,cardiovascular_risk,Withdrawn / restricted for safety,,CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,XXPANQJNYNUNES-UHFFFAOYSA-N,4528,OK,92,"Immediate 'Hard Kill'. The structure features a primary aniline fused to a tetrahydroisoquinoline core. Primary anilines are major structural alerts for idiosyncratic drug reactions (IDR). They are metabolically activated to reactive hydroxylamines or quinone imines, which can covalently bind to proteins and trigger immune-mediated toxicity (DILI, hemolytic anemia). No amount of potency justifies the inclusion of a primary aniline in a chronic CNS drug when safer bioisosteres exist. This is a toxicity case study waiting to happen.",Medium,"Primary Aniline (Genotox/Idiosyncratic immune tox), Benzylic amine",0.5,May pass initial safety if the toxic metabolite accumulation is slow or idiosyncratic.,0.3,"Efficacy likely good (NDRI), but liver enzyme elevations may appear.",0.05,"Severe idiosyncratic toxicity (e.g., immune-mediated hemolysis) often manifests in larger populations.",0.0075,
Zimeldine,SSRI,Serotonin Transporter (SERT),Depression,Approved,1982 (Sweden),1983,Guillain Barr  syndrome,market_withdrawal,CNS,tox_safety,other_safety_or_unknown,Withdrawn / restricted for safety,,CN(C)C/C=C(/C1=CC=C(C=C1)Br)\C2=CN=CC=C2,CN(C)CC=C(C1=CC=C(C=C1)Br)C2=CN=CC=C2,OYPPVKRFBIWMSX-SXGWCWSVSA-N,5365247,OK,65,"A mixed bag. The inclusion of a 3-pyridyl ring is a smart move to lower LogP compared to a bis-phenyl system, improving LipE. However, the allylic amine motif conjugated to the aromatic system raises concerns about metabolic activation to reactive aldehydes or Michael acceptors. The 4-bromophenyl group adds significant molecular weight and lipophilicity; a chloro or fluoro substitution would likely improve the property profile. While not an overt toxin, the structure feels 'reactive' and lacks the refinement of a modern candidate.",Medium,"Allylic amine (Reactive metabolite risk), Bromine (Heavy atom penalty)",0.7,Reasonable physicochemical properties suggest decent PK.,0.4,"CNS efficacy is plausible, but hypersensitivity reactions could emerge.",0.2,Long-term safety is the hurdle; rare immune reactions could derail approval.,0.056,
Phenylpropanolamine,Sympathomimetic,_1_ and _1_-adrenergic receptors,Appetite suppression/decongestant,Approved,~1940s,2000,Hemorrhagic stroke risk,market_withdrawal,Metabolic,tox_safety,other_safety_or_unknown,Withdrawn / restricted for safety,,C[C@@H]([C@@H](C1=CC=CC=C1)O)N,CCH(CH(C1=CC=CC=C1)O)N,DLNKOYKMWOXYQA-CBAPKCEASA-N,10297,OK,60,"This is a fragment, not a drug. With a MW < 200 and a simple phenethylamine scaffold, it lacks the structural complexity required for target selectivity. It will hit adrenergic receptors indiscriminately. While chemically stable, the pharmacology is dangerous: sympathomimetic amines are notorious for causing hypertension and hemorrhagic stroke. It relies entirely on brute-force receptor activation rather than elegant binding. Acceptable only as a starting point for elaboration, not as a final NCE.",High,"Primary amine (CNS promiscuity), Phenethylamine core (Sympathomimetic CV risk)",0.6,"High bioavailability and exposure, but pressor effects will be evident.",0.4,"Efficacy in metabolic targets is likely, but CV side effects will limit dosing.",0.1,Stroke risk in a large population will likely prevent approval for chronic metabolic indications.,0.024,
Temafloxacin,Fluoroquinolone,DNA gyrase and Topoisomerase IV,Infection,Approved,1992,1992,Hemolysis/renal failure,market_withdrawal,Infectious,tox_safety,other_safety_or_unknown,Withdrawn / restricted for safety,,CC1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F,CC1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F,QKDHBVNJCZBTMR-UHFFFAOYSA-N,60021,OK,85,"This molecule is a medicinal chemistry trap. While the fluoroquinolone core suggests high potency, the N1-(2,4-difluorophenyl) moiety is a severe structural alert. This specific aniline-derived appendage is prone to metabolic bioactivation (likely via iminoquinone formation), creating a high risk of idiosyncratic hepatotoxicity (DILI). Furthermore, the lipophilicity added by the difluorophenyl group increases CNS penetration, heightening the risk of GABA-mediated seizures. High potency cannot justify this safety profile.",Low,"N1-(2,4-difluorophenyl) moiety (Bioactivation/DILI risk), Fluoroquinolone core (QTc/Tendinopathy)",0.2,High risk of transaminase elevations or CNS side effects in healthy volunteers.,0.1,"Efficacy is likely, but safety signals (liver) will likely terminate development.",0.01,Severe DILI risk makes approval unlikely or restricts it to 'last-line' salvage therapy.,0.05,
Grepafloxacin,Fluoroquinolone,DNA gyrase and Topoisomerase IV,Infection,Approved,1997,1999,QT prolongation,market_withdrawal,Infectious,tox_safety,qt_liability,Withdrawn / restricted for safety,,CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F,CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F,AIJTTZAVMXIJGM-UHFFFAOYSA-N,72474,OK,65,"A highly optimized fluoroquinolone scaffold. The N1-cyclopropyl and C-methyl substitution pattern is designed to balance Gram-positive potency with pharmacokinetics. Unlike the C8-fluoro analogs, the C-methyl group avoids severe phototoxicity. However, this specific subclass sits on the precipice of hERG inhibition. The combination of the quinolone core and the specific steric/electronic vectors of the methyl group often correlates with QTc prolongation. It is a developable molecule, but cardiac safety will be the rate-limiting step.",Medium,"Fluoroquinolone core (QTc risk), Piperazine (Metabolic handle)",0.6,"Likely to pass initial safety, though QTc monitoring will be intensive.",0.4,Strong efficacy expected. Attrition risk is purely safety-driven (cardiac).,0.1,Regulatory hurdles regarding QTc outliers could prevent commercial viability.,0.25,
